Date,Facebook,Instagram,SoundCloud,Spotify,Twitter,YouTube
15/12/2023,17915699,74132079,4526596,71744332,48614977,77000000
22/12/2023,17917958,74122744,4527769,71547300,48620130,77100000
29/12/2023,17933766,74110806,4529297,71508152,48622158,77100000
5/1/2024,17940456,74123252,4530504,71573325,48616572,77200000
12/1/2024,17947147,74150940,4531789,71628556,48615330,77200000
19/1/2024,17953738,74226287,4533121,71694625,48615199,77300000
26/1/2024,17964158,74265931,4534976,71756204,48623367,77300000
2/2/2024,17975102,74323790,4535849,71824025,48613693,77400000
9/2/2024,17979738,74359674,4536695,71570062,48616962,77400000
16/2/2024,17984326,74370986,4538104,71229306,48608799,77400000
23/2/2024,17993268,74410998,4539517,71329931,48594998,77500000
1/3/2024,17998406,74415136,4541077,71454473,48589809,77500000
8/3/2024,18002928,74458726,4542742,71593234,48572955,77500000
15/3/2024,18008118,74481904,4544082,71752934,48563881,77600000
22/3/2024,18014430,74516097,4545432,71914630,48554686,77600000
29/3/2024,18022903,74551106,4548008,72183107,48530752,77700000
5/4/2024,18026367,74566537,4548834,72351820,48521373,77700000
12/4/2024,18036027,74594050,4550561,72498170,48506874,77800000
19/4/2024,18041747,74708701,4553311,72468727,48544918,77800000
26/4/2024,18049349,74745858,4554639,72639028,48537108,77800000
3/5/2024,18057157,74758767,4556486,72717420,48530420,77900000
10/5/2024,18062978,74782493,4559073,72824342,48546878,77900000
17/5/2024,18067664,74754133,4559453,72908203,48536189,78000000
24/5/2024,18073002,74726091,4559833,73098827,48525260,78000000
31/5/2024,18076983,74698889,4560213,73165633,48516525,78100000
7/6/2024,18085698,74690827,4567431,73312725,48492268,78200000
14/6/2024,18103559,74814613,4569271,73473032,48548605,78300000
21/6/2024,18119472,75024763,4572933,73621186,48565364,78400000
28/6/2024,18127554,75062539,4573623,73793743,48585406,78400000
5/7/2024,18129994,75087995,4575030,73954474,48596146,78500000
12/7/2024,18136614,75128022,4575706,74099708,48609023,78500000
19/7/2024,18141345,75183945,4578234,74261302,48618480,78600000
26/7/2024,18146339,75188957,4580408,74355631,48618017,78600000
2/8/2024,18152270,75190821,4580830,74460479,48615623,78700000
9/8/2024,18162439,75226845,4581267,74687691,48616849,78700000
16/8/2024,18168571,75238199,4581703,74899859,48613022,78800000
23/8/2024,18171113,75281435,4587374,75165615,48608011,78800000
30/8/2024,18177153,75312368,4587374,75328072,48611471,78850000
