Date,platforms,number_of_fans
2023-07-28,Instagram,73878455
2023-08-04,Instagram,73779920
2023-08-11,Instagram,73843919
2023-08-18,Instagram,73985152
2023-08-25,Instagram,73823260
2023-09-01,Instagram,73972470
2023-09-08,Instagram,73971178
2023-09-15,Instagram,73967442
2023-09-22,Instagram,73977902
2023-09-29,Instagram,73975588
2023-10-06,Instagram,73976766
2023-10-13,Instagram,73975964
2023-10-20,Instagram,74024667
2023-10-27,Instagram,74024072
2023-11-03,Instagram,74010189
2023-11-10,Instagram,74020429
2023-11-17,Instagram,74009267
2023-11-24,Instagram,74044229
2023-12-01,Instagram,74050810
2023-12-08,Instagram,74088440
2023-12-15,Instagram,74132079
2023-12-22,Instagram,74122744
2023-12-29,Instagram,74110806
2024-01-05,Instagram,74123252
2024-01-12,Instagram,74150940
2024-01-19,Instagram,74226287
2024-01-26,Instagram,74265931
2024-02-02,Instagram,74323790
2024-02-09,Instagram,74359674
2024-02-16,Instagram,74370986
2024-02-23,Instagram,74410998
2024-03-01,Instagram,74415136
2024-03-08,Instagram,74458726
2024-03-15,Instagram,74481904
2024-03-22,Instagram,74516097
2024-03-29,Instagram,74551106
2024-04-05,Instagram,74566537
2024-04-12,Instagram,74594050
2024-04-19,Instagram,74708701
2024-04-26,Instagram,74745858
2024-05-03,Instagram,74758767
2024-05-10,Instagram,74782493
2024-05-17,Instagram,74754133
2024-05-24,Instagram,74726091
2024-05-31,Instagram,74698889
2024-06-07,Instagram,74690827
2024-06-14,Instagram,74814613
2024-06-21,Instagram,75024763
2024-06-28,Instagram,75062539
2024-07-05,Instagram,75087995
2024-07-12,Instagram,75128022
2024-07-19,Instagram,75183945
2024-07-26,Instagram,75188957
2024-08-02,Instagram,75190821
2024-08-09,Instagram,75226845
2024-08-16,Instagram,75238199
2024-08-23,Instagram,75281435
2024-08-30,Instagram,75312368
2020-01-03,SoundCloud,2253030
2020-01-10,SoundCloud,2262209
2020-01-17,SoundCloud,2269314
2020-01-24,SoundCloud,2276485
2020-01-31,SoundCloud,2285434
2020-02-07,SoundCloud,2291868
2020-02-14,SoundCloud,2297643
2020-02-21,SoundCloud,2303743
2020-02-28,SoundCloud,2310745
2020-03-06,SoundCloud,2316016
2020-03-13,SoundCloud,2322506
2020-03-20,SoundCloud,2328057
2020-03-27,SoundCloud,2334271
2020-04-03,SoundCloud,2340792
2020-04-10,SoundCloud,2347818
2020-04-17,SoundCloud,2357343
2020-04-24,SoundCloud,2369847
2020-05-01,SoundCloud,2378625
2020-05-08,SoundCloud,2387882
2020-05-15,SoundCloud,2397319
2020-05-22,SoundCloud,2411445
2020-05-29,SoundCloud,2456612
2020-06-05,SoundCloud,2597347
2020-06-12,SoundCloud,2695631
2020-06-19,SoundCloud,2716294
2020-06-26,SoundCloud,2733487
2020-07-03,SoundCloud,2745998
2020-07-10,SoundCloud,2757863
2020-07-17,SoundCloud,2770787
2020-07-24,SoundCloud,2781670
2020-07-31,SoundCloud,2882019
2020-08-07,SoundCloud,2907215
